,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
1,hsa-let-7a-2-3p,52,214,340,255,177,210,25,10,10,0,13,16,17,13,39,15,0,15,15,13
2,hsa-let-7a-3p,13,12,10,33,63,37,0,17,0,0,11,585,2000,249,870,301,341,59,322,466
3,hsa-let-7a-5p,10481,14538,12853,10427,14123,13942,3852,2634,1378,3360,7244,321827,576365,145938,459410,117521,190719,30188,123763,183058
4,hsa-let-7b-3p,103,100,83,101,134,146,226,182,102,442,534,869,1443,332,1062,354,581,90,525,514
5,hsa-let-7b-5p,21207,32137,29351,14587,21455,26233,20570,9542,6666,27788,43688,291486,486171,79468,279289,204486,146697,17891,200967,215115
6,hsa-let-7c-3p,68,115,86,119,467,671,53,31,22,17,0,75,65,11,57,22,19,13,34,38
7,hsa-let-7c-5p,406,583,484,500,456,767,1065,305,563,1411,1858,52798,53316,1173,14907,22468,8986,742,16847,28481
8,hsa-let-7d-3p,492,988,1310,1078,418,669,154,28,109,124,138,489,566,207,240,329,87,48,83,72
9,hsa-let-7d-5p,503,1594,1672,860,1590,1718,610,446,237,964,1471,5436,12615,2962,10988,3917,3679,837,3016,4146
10,hsa-let-7e-3p,10,12,16,24,81,88,21,0,0,0,0,87,267,34,150,58,28,12,55,38
11,hsa-let-7e-5p,244,409,265,526,495,517,406,268,251,688,768,18212,38416,14198,61519,17707,15119,1261,11647,15205
12,hsa-let-7f-1-3p,0,20,24,17,30,28,0,0,0,0,0,48,141,15,90,22,42,0,32,39
13,hsa-let-7f-2-3p,19,49,49,45,102,107,15,0,0,18,27,66,192,17,72,34,19,10,51,58
14,hsa-let-7f-5p,4573,3387,3301,3693,4160,5047,1290,891,706,973,3018,260471,351441,109267,422120,119298,222545,36945,124993,193153
15,hsa-let-7g-3p,0,65,21,29,61,92,0,0,0,0,0,19,79,0,102,31,13,15,172,173
16,hsa-let-7g-5p,659,2589,2542,2395,2351,4772,75,68,74,69,177,14587,27830,7102,29384,5598,10817,3155,10865,13346
17,hsa-let-7i-3p,0,27,34,32,47,60,0,0,0,0,0,118,544,29,209,56,19,10,67,129
18,hsa-let-7i-5p,3809,5565,7789,5354,6749,9014,1301,735,838,900,2625,260577,284387,110819,337434,266937,131524,15234,131164,226081
19,hsa-miR-1-3p,37,54,73,61,166,227,35,31,23,27,49,1078,1842,369,5031,494,444,1392,397,1179
20,hsa-miR-1-5p,0,19,20,21,32,50,15,15,0,0,0,0,0,0,21,0,0,12,0,0
21,hsa-miR-100-3p,0,30,21,34,35,26,0,0,0,0,0,44,54,237,292,42,30,0,21,41
22,hsa-miR-100-5p,46,147,193,225,229,309,234,33,266,202,209,50438,71046,68683,131646,18912,7666,1573,20969,23789
23,hsa-miR-101-3p,411,2101,3821,2982,4248,5980,322,239,168,241,375,20291,56929,7451,31584,15967,17574,5026,16425,30455
24,hsa-miR-101-5p,31,58,93,81,231,130,25,24,11,29,33,185,393,75,231,176,185,54,208,284
25,hsa-miR-103a-2-5p,0,25,20,22,34,43,0,0,0,0,0,0,17,0,21,0,0,0,14,32
26,hsa-miR-103a-3p,515,1796,2058,2155,2336,4917,205,82,185,96,696,41402,75974,43338,109153,24280,25264,7958,19052,29768
27,hsa-miR-103b,90,207,241,256,330,572,71,32,34,35,290,2755,4105,2433,6440,1799,2073,410,1595,2029
28,hsa-miR-105-3p,44,125,58,111,97,130,10,57,14,0,0,0,0,0,11,12,0,138,17,17
29,hsa-miR-105-5p,18,33,22,38,139,127,13,16,0,0,0,14,13,0,17,12,0,21,0,0
30,hsa-miR-106a-3p,22,106,184,176,84,73,0,0,0,17,0,0,12,0,61,11,0,0,0,40
31,hsa-miR-106a-5p,0,29,68,21,44,74,0,0,0,0,0,34,75,47,52,15,19,24,11,19
32,hsa-miR-106b-3p,76,188,344,204,242,529,137,27,39,63,280,1777,2070,6307,2325,1264,714,271,802,682
33,hsa-miR-106b-5p,44,134,215,135,215,310,19,24,38,47,27,64,179,326,208,83,78,29,37,59
34,hsa-miR-107,164,506,576,765,776,1703,102,83,44,27,193,6870,16100,5163,16109,3736,3467,1269,2850,4068
35,hsa-miR-10a-3p,11,24,19,42,62,75,0,0,11,0,15,2227,2860,1549,2074,1165,539,171,374,840
