"","HP01_T","HP02_T","HP03_T","HP04_T","HP05_T","HP01_N","HP03_N","HP04_N","HP05_N"
"hsa-let-7a-2-3p",16,17,13,39,15,0,15,15,13
"hsa-let-7a-3p",585,2000,249,870,301,341,59,322,466
"hsa-let-7a-5p",321827,576365,145938,459410,117521,190719,30188,123763,183058
"hsa-let-7b-3p",869,1443,332,1062,354,581,90,525,514
"hsa-let-7b-5p",291486,486171,79468,279289,204486,146697,17891,200967,215115
"hsa-let-7c-3p",75,65,11,57,22,19,13,34,38
"hsa-let-7c-5p",52798,53316,1173,14907,22468,8986,742,16847,28481
"hsa-let-7d-3p",489,566,207,240,329,87,48,83,72
"hsa-let-7d-5p",5436,12615,2962,10988,3917,3679,837,3016,4146
"hsa-let-7e-3p",87,267,34,150,58,28,12,55,38
"hsa-let-7e-5p",18212,38416,14198,61519,17707,15119,1261,11647,15205
"hsa-let-7f-1-3p",48,141,15,90,22,42,0,32,39
"hsa-let-7f-2-3p",66,192,17,72,34,19,10,51,58
"hsa-let-7f-5p",260471,351441,109267,422120,119298,222545,36945,124993,193153
"hsa-let-7g-3p",19,79,0,102,31,13,15,172,173
"hsa-let-7g-5p",14587,27830,7102,29384,5598,10817,3155,10865,13346
"hsa-let-7i-3p",118,544,29,209,56,19,10,67,129
"hsa-let-7i-5p",260577,284387,110819,337434,266937,131524,15234,131164,226081
"hsa-miR-1-3p",1078,1842,369,5031,494,444,1392,397,1179
"hsa-miR-1-5p",0,0,0,21,0,0,12,0,0
"hsa-miR-100-3p",44,54,237,292,42,30,0,21,41
"hsa-miR-100-5p",50438,71046,68683,131646,18912,7666,1573,20969,23789
"hsa-miR-101-3p",20291,56929,7451,31584,15967,17574,5026,16425,30455
"hsa-miR-101-5p",185,393,75,231,176,185,54,208,284
"hsa-miR-103a-2-5p",0,17,0,21,0,0,0,14,32
"hsa-miR-103a-3p",41402,75974,43338,109153,24280,25264,7958,19052,29768
"hsa-miR-103b",2755,4105,2433,6440,1799,2073,410,1595,2029
"hsa-miR-105-3p",0,0,0,11,12,0,138,17,17
"hsa-miR-105-5p",14,13,0,17,12,0,21,0,0
"hsa-miR-106a-3p",0,12,0,61,11,0,0,0,40
"hsa-miR-106a-5p",34,75,47,52,15,19,24,11,19
"hsa-miR-106b-3p",1777,2070,6307,2325,1264,714,271,802,682
"hsa-miR-106b-5p",64,179,326,208,83,78,29,37,59
"hsa-miR-107",6870,16100,5163,16109,3736,3467,1269,2850,4068
"hsa-miR-10a-3p",2227,2860,1549,2074,1165,539,171,374,840
"hsa-miR-10a-5p",109074,154145,43388,75762,44637,18333,8139,19469,35122
"hsa-miR-10b-3p",325,488,82,1271,154,117,29,125,174
"hsa-miR-10b-5p",20539,31450,4356,53352,4709,5026,1992,7924,7751
"hsa-miR-1178-3p",0,0,0,0,0,0,10,0,0
"hsa-miR-1178-5p",0,0,0,0,0,0,0,0,0
"hsa-miR-1179",130,67,12,53,38,100,33,245,81
"hsa-miR-1180-3p",152,155,117,97,98,128,81,69,80
"hsa-miR-1180-5p",0,0,0,0,0,0,49,12,0
"hsa-miR-1181",0,0,0,10,0,0,338,0,12
"hsa-miR-1182",0,0,0,0,0,0,17,0,0
"hsa-miR-1183",0,0,0,12,0,0,14,0,0
"hsa-miR-1184",0,0,0,0,0,0,0,0,0
"hsa-miR-1185-1-3p",26,64,0,0,0,20,0,0,28
"hsa-miR-1185-2-3p",0,21,0,0,0,0,0,0,16
"hsa-miR-1185-5p",22,46,0,0,0,13,0,17,23
"hsa-miR-1193",0,0,0,0,0,0,0,0,0
"hsa-miR-1197",0,0,0,0,0,0,0,0,11
"hsa-miR-1199-3p",0,0,0,11,0,0,0,0,0
"hsa-miR-1199-5p",30,22,12,19,0,18,66,21,15
"hsa-miR-1200",0,0,0,10,0,0,27,0,0
"hsa-miR-1202",0,0,0,0,12,0,16,0,0
"hsa-miR-1203",0,0,0,10,0,0,17,0,0
"hsa-miR-1204",0,0,0,0,0,0,0,0,0
"hsa-miR-1205",0,0,0,0,0,0,0,0,0
"hsa-miR-1206",0,0,0,14,0,0,0,0,0
"hsa-miR-1207-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,11,0,0,19,0,0
"hsa-miR-1208",54,85,11,104,16,30,32,81,85
"hsa-miR-122-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-122-5p",483,79,672,3382,6889,106,3290,830,1235
"hsa-miR-1224-3p",11,0,0,19,0,0,26,11,20
"hsa-miR-1224-5p",63,11,0,21,16,57,69,150,74
"hsa-miR-1225-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1225-5p",0,0,0,0,0,0,26,0,0
"hsa-miR-1226-3p",24,16,40,21,0,13,14,0,0
"hsa-miR-1226-5p",0,0,0,0,0,0,14,0,0
"hsa-miR-1227-3p",0,0,0,0,0,0,0,0,0
"hsa-miR-1227-5p",0,0,0,0,0,0,10,0,0
"hsa-miR-1228-3p",0,12,0,0,0,0,17,0,0
"hsa-miR-1228-5p",0,0,0,0,0,0,51,0,0
"hsa-miR-1229-3p",0,0,0,13,0,0,21,11,0
"hsa-miR-1229-5p",0,0,0,0,0,0,18,0,0
"hsa-miR-1231",0,0,11,16,0,0,17,0,11
"hsa-miR-1233-3p",0,0,0,12,0,0,23,0,0
"hsa-miR-1233-5p",0,0,0,0,0,0,50,0,0
"hsa-miR-1234-3p",0,0,0,0,0,0,26,0,0
