"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"hsa-let-7a-2-3p",16.819574809252,-0.261066124125406,1.33821452136169,-0.195085406680358,0.845326086868457,0.943569603988546,"Not Significant"
"hsa-let-7a-3p",431.226841289881,0.642913008754947,0.666904540330813,0.964025538701587,0.335033122054907,0.764377814310663,"Not Significant"
"hsa-let-7a-5p",189640.320150471,0.550547640480432,0.598448293333689,0.919958577229081,0.357594406046405,0.779978627065808,"Not Significant"
"hsa-let-7b-3p",527.353068790222,0.203697742805228,0.613288313537406,0.332140264715485,0.739783347402663,0.904294609272626,"Not Significant"
"hsa-let-7b-5p",176095.935470038,0.327718207510207,0.671853126036521,0.487782514972465,0.625703897617214,0.86804001034515,"Not Significant"
"hsa-let-7c-3p",32.5394075314136,-0.01098091394483,0.878420732176102,-0.0125007454202807,0.990026107999057,0.99343607163166,"Not Significant"
"hsa-let-7c-5p",17692.1556974143,0.634041104432496,0.966419074285788,0.656072630707409,0.511777393366056,0.846418319413558,"Not Significant"
"hsa-let-7d-3p",209.158152044201,1.55950337773387,0.713016420366295,2.18719139305756,0.028728554947465,0.306204353952248,"Not Significant"
"hsa-let-7d-5p",4255.30929439086,0.536101499737811,0.553872193233713,0.967915534101557,0.333086555573769,0.764377814310663,"Not Significant"
"hsa-let-7e-3p",61.058661135421,0.963413260854754,0.758118978424834,1.27079427935766,0.203801844425465,0.673050334475749,"Not Significant"
"hsa-let-7e-5p",16764.3959823535,0.840967862556054,0.662654823586011,1.26908887194858,0.204409368758997,0.673050334475749,"Not Significant"
"hsa-let-7f-1-3p",34.7230359476782,0.443734299630758,1.09410034987659,0.405570018948272,0.685058561494847,0.896873730325776,"Not Significant"
"hsa-let-7f-2-3p",44.6079782384848,0.335213509368148,0.851192392676362,0.393816383055484,0.69371660794253,0.898599481741908,"Not Significant"
"hsa-let-7f-5p",172504.74805128,0.0677176369101141,0.587135936942113,0.115335534157213,0.908179174098741,0.966807062317052,"Not Significant"
"hsa-let-7g-3p",58.448059983847,-1.77141721140236,1.19061429899173,-1.48781785411319,0.13679893584731,0.635969520907174,"Not Significant"
"hsa-let-7g-5p",11249.7960811092,-0.0172174005884022,0.565526667853023,-0.0304448960006903,0.975712239604305,0.986960454291892,"Not Significant"
"hsa-let-7i-3p",88.648164379457,0.959990216747742,0.889854148899276,1.07881748704012,0.280669097745732,0.738869853704126,"Not Significant"
"hsa-let-7i-5p",169365.814600265,0.592044187978649,0.67664972689334,0.874964053701557,0.38159346475294,0.782071233772868,"Not Significant"
"hsa-miR-1-3p",1302.34720807682,-0.605846729893603,0.907197279853749,-0.667822471856697,0.504246920356984,0.84105306945039,"Not Significant"
"hsa-miR-1-5p",5.4409567051647,-2.22771165393599,3.10301399952403,-0.717918660462925,0.472807441306653,NA,"Not Significant"
"hsa-miR-100-3p",74.6238456616012,2.32143586831233,1.14017976526926,2.03602619431166,0.0417477250272371,0.409972041278711,"Not Significant"
"hsa-miR-100-5p",34619.5698963454,1.88216261357756,0.745952940110828,2.52316535316279,0.0116303698801705,0.199312613240569,"Not Significant"
"hsa-miR-101-3p",18719.0304232475,-0.156282467629396,0.603751703752711,-0.258852217986299,0.795749266389632,0.922624132742323,"Not Significant"
"hsa-miR-101-5p",179.65134037352,-0.452144047807753,0.638141611263011,-0.70853246337105,0.478614659781698,0.828335074552879,"Not Significant"
"hsa-miR-103a-2-5p",6.60090707949493,-1.49567968410241,2.7299149203816,-0.547885090826693,0.583770806694703,NA,"Not Significant"
"hsa-miR-103a-3p",34693.7360700463,0.762207440596925,0.58018120533816,1.31374031696299,0.188933608404402,0.673050334475749,"Not Significant"
"hsa-miR-103b",2220.61620385495,0.535388792470145,0.58096189843963,0.921555774841884,0.356760335803316,0.779978627065808,"Not Significant"
"hsa-miR-105-3p",55.5386613230832,-4.89130422191023,1.95367007205989,-2.50364905101555,NA,NA,"Not Significant"
"hsa-miR-105-5p",12.0960379008502,-1.03843179980612,2.27912241287234,-0.455627917983309,0.64865756388234,0.880267023805413,"Not Significant"
"hsa-miR-106a-3p",9.15484351457639,0.197689133879409,2.64779334572475,0.0746618440591699,0.940483766932414,0.978550967022536,"Not Significant"
"hsa-miR-106a-5p",33.2566523552395,0.140845896065027,0.98804491853323,0.142550094052521,0.886645514000946,0.955521799305582,"Not Significant"
"hsa-miR-106b-3p",1881.36660264676,1.82858382730897,0.842115421427648,2.17141710124361,NA,NA,"Not Significant"
"hsa-miR-106b-5p",118.214476838859,1.21331144263223,0.884495782599542,1.37175492127989,0.170139744779123,0.672389750526768,"Not Significant"
"hsa-miR-107",5254.7441501086,0.85072733405102,0.560436056717938,1.51797394877322,0.129020966152081,0.630505158170444,"Not Significant"
"hsa-miR-10a-3p",1114.90412777923,1.44497783412,0.600212976866665,2.40744184116666,0.0160647207234272,0.234009431871256,"Not Significant"
"hsa-miR-10a-5p",45700.6004969695,1.36569738993028,0.589630793476601,2.31619075027918,0.0205478560049694,0.257219941642492,"Not Significant"
"hsa-miR-10b-3p",212.793249534069,1.15461507563145,0.735853819425339,1.56908212630213,0.116628803959947,0.629045316081682,"Not Significant"
"hsa-miR-10b-5p",10667.879760494,1.0324137779623,0.692255397623928,1.49137699974015,0.135862543234959,0.634993918648952,"Not Significant"
"hsa-miR-1178-3p",3.60580893169809,-5.76227364194527,3.20944797201522,-1.79540958201828,0.0725884669208737,NA,"Not Significant"
"hsa-miR-1178-5p",0,NA,NA,NA,NA,NA,"Not Significant"
"hsa-miR-1179",85.49690696273,-1.58435731614808,0.866151549771454,-1.82919180432816,0.0673708797790982,0.505466610684201,"Not Significant"
"hsa-miR-1180-3p",119.880494993789,-0.379854626118685,0.79432018882031,-0.478213485525061,0.632498265199226,0.869187867585099,"Not Significant"
"hsa-miR-1180-5p",19.0290165183564,-8.18445099274502,2.71492472895213,-3.01461432999063,0.00257306213074585,0.072101931920307,"Not Significant"
"hsa-miR-1181",123.529585973713,-8.12504312087389,3.11977021665796,-2.60437229559099,NA,NA,"Not Significant"
